domain	intent	utterance	bio
Airconditioner	TurnOff	apague el la calefacción	o o b-av_alias i-av_alias
Airconditioner	TurnOff	apague el el aire acondicionado	o o b-av_alias i-av_alias i-av_alias
Airconditioner	TurnOff	apague el la refrigeración	o o b-av_alias i-av_alias
Airconditioner	TurnOff	apague el el sistema calefactiorio	o o b-av_alias i-av_alias i-av_alias
Airconditioner	TurnOff	apague el el sistema de refrigeración	o o b-av_alias i-av_alias i-av_alias i-av_alias
Airconditioner	TurnOff	apague el la calefacción	o o b-av_alias i-av_alias
Airconditioner	TurnOn	encienda el el aire acondicionado	o o b-av_alias i-av_alias i-av_alias
Airconditioner	TurnOn	Encienda el la refrigeración	o o b-av_alias i-av_alias
Airconditioner	TurnOn	Encienda el el sistema calefactiorio	o o b-av_alias i-av_alias i-av_alias
Airconditioner	TurnOn	encienda el el sistema de refrigeración	o o b-av_alias i-av_alias i-av_alias i-av_alias
Airconditioner	TurnOn	encienda el la calefacción	o o b-av_alias i-av_alias
Airconditioner	TurnOn	encienda el el aire acondicionado	o o b-av_alias i-av_alias i-av_alias
Airconditioner	SetTemperatureToValue	ajustar la temperatura en mi termostato a 78 grados fahrenheit	o o o o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValue	ajuste la temperatura a 79 grados fahrenheit en mi termostato	o o o o b-value i-value i-value o o o
Airconditioner	SetTemperatureToValueOnDevice	establezca mi termostato salón en 25 grados	o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establecer la temperatura en mi termostato cocina en 22 grados celsius	o o o o o o b-device_name o b-value i-value i-value
Airconditioner	SetTemperatureOnDevice	cambiar la temperatura en mi termostato corredor	o o o o o o b-device_name
Airconditioner	GetTemperature	¿Qué temperatura tengo aquí según mi la refrigeración?	o o o o o o b-av_alias i-av_alias
Airconditioner	GetTemperature	¿Qué temperatura tenemos aquí según mi el sistema calefactiorio?	o o o o o o b-av_alias i-av_alias i-av_alias
Airconditioner	GetTemperatureFromDevice	compruebe la temperatura del sensor de temperatura ambiente dormitorio	o o o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	compruebe lo que dice el sensor de temperatura del hogar salón	o o o o o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	compruebe lo que dice el sensor de temperatura del hogar cocina	o o o o o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	¿Qué dice el sensor de temperatura interior corredor?	o o o o o o o b-device_name
Calendar	CheckCalendarOnDate	cuál está en mi horario el ueves	o o o o o b-date i-date
Calendar	CheckCalendarOnDate	cuál está en mi horario dentro de 1 hora	o o o o o b-date i-date i-date i-date
Calendar	CheckCalendarOnDate	cuál está en mi horario el 15 de mayo	o o o o o b-date i-date i-date i-date
Calendar	CheckCalendarOnDate	cuál está en mi horario hoy	o o o o o b-date
Calendar	CheckCalendarOnDate	cuál está en mi horario el próximo miércoles	o o o o o b-date i-date i-date
Calendar	CheckCalendarOnDate	cuál está en mi horario en 4 horas	o o o o o b-date i-date i-date
Calendar	AddEventWithName	agregar un evento llamado 1on1	o o o o b-event_name
Calendar	AddEventWithName	agregar un evento llamado peluquero	o o o o b-event_name
Calendar	AddEventWithName	agregar un evento llamado el cumple de mamá	o o o o b-event_name i-event_name i-event_name i-event_name
Calendar	AddEventWithName	agregar un evento llamado cita con ana	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	agregue un evento llamado cena con juan al calendario	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	agregue un evento llamado 1on1 al calendario	o o o o b-event_name o o
Calendar	AddEventWithName	agregue un evento llamado peluquero al calendario	o o o o b-event_name o o
Calendar	AddEventWithName	agregue un evento llamado el cumple de mamá al calendario	o o o o b-event_name i-event_name i-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	agregue un evento llamado cita con ana en el ueves	o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado cena con juan en dentro de 1 hora	o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado 1on1 en el 15 de mayo	o o o o b-event_name o b-event_date i-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado peluquero en hoy	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado el cumple de mamá en el próximo miércoles	o o o o b-event_name i-event_name i-event_name i-event_name o b-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado cita con ana al calendario en en 4 horas	o o o o b-event_name i-event_name i-event_name o o o b-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado cena con juan al calendario en dentro de 45 minutos	o o o o b-event_name i-event_name i-event_name o o o b-event_date i-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado 1on1 al calendario en el 13 de marzo	o o o o b-event_name o o o b-event_date i-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	agregue un evento llamado peluquero al calendario en el viernes	o o o o b-event_name o o o b-event_date i-event_date
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una cita en mi calendario en la ubicación laboratorio	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una cita en mi calendario en la ubicación casa	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una cita en mi calendario en la ubicación edificio b	o o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience un evento en mi calendario en la ubicación slack	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience un evento en mi calendario en la ubicación trabajo	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience un evento en mi calendario en la ubicación facebook	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience un evento en mi calendario en la ubicación sala de conferencias orion	o o o o o o o o o o o o o b-location i-location i-location i-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience un evento en mi calendario en la ubicación universidad	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una reunión en mi calendario en la ubicación capus	o o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una reunión en mi calendario en la ubicación lemon conference room	o o o o o o o o o o o o o b-location i-location i-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una reunión en mi calendario en la ubicación piso 12	o o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	no me notifique cuando comience una reunión en mi calendario en la ubicación alquézar	o o o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	notifíqueme cuando comience una cita en mi calendario en la ubicación galende	o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	notifíqueme cuando comience una cita en mi calendario en la ubicación orrios	o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	notifíqueme cuando comience una cita en mi calendario en la ubicación bisimbre	o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	notifíqueme cuando comience una cita en mi calendario en la ubicación tordellego	o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	notificarme cuando comience un evento en mi calendario en la ubicación boada	o o o o o o o o o o o b-location
