domain	intent	utterance	bio
Airconditioner	ChangeTemperature	zmień temperaturę minimalną i maksymalną na moim termostacie	o o o o o o o o
Airconditioner	ChangeTemperature	zmień temperaturę minimalną i maksymalną na termostacie	o o o o o o o
Airconditioner	ChangeTemperature	zmień temperaturę na moim termostacie	o o o o o
Airconditioner	ChangeTemperature	zmień temperaturę na termostacie	o o o o
Airconditioner	GetHumidity	jaki jest poziom wilgotności	o o o o
Airconditioner	GetHumidity	pokaż mi jaki jest poziom wilgotności	o o o o o o
Airconditioner	GetHumidity	pokaż poziom wilgotności	o o o
Airconditioner	GetHumidity	powiedz mi jaki jest poziom wilgotności	o o o o o o
Airconditioner	GetTemperature	co termostat mówi o temperaturze	o o o o o
Airconditioner	GetTemperature	jaka jest temperatura	o o o
Airconditioner	GetTemperature	jaka jest temperatura według mojego termostatu	o o o o o o
Airconditioner	GetTemperature	jaka jest temperatura według termostatu	o o o o o
Airconditioner	GetTemperatureFromDevice	co termostat w przedpokoju mówi o temperaturze	o o o b-device_name o o o
Airconditioner	GetTemperatureFromDevice	jaka jest temperatura	o o o
Airconditioner	GetTemperatureFromDevice	jaka jest temperatura według mojego termostatu w kuchnii	o o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	jaka jest temperatura według termostatu w salonie	o o o o o o b-device_name
Airconditioner	SetTemperatureBetweenValues	nastaw temperaturę na moim termostacie pomiędzy 23 stopni a 29 stopni	o o o o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	nastaw temperaturę na termostacie pomiędzy 23 stopni a 29 stopni	o o o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	nastaw temperaturę pomiędzy 23 stopni a 29 stopni	o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	ustaw temperaturę na moim termostacie pomiędzy 23 stopni a 29 stopni	o o o o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	ustaw temperaturę na termostacie pomiędzy 23 stopni a 29 stopni	o o o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	ustaw temperaturę pomiędzy 23 stopni a 29 stopni	o o o o o o o o
Airconditioner	SetTemperatureOnDevice	zmień temperaturę na moim termostacie w sypialnii	o o o o o o b-device_name
Airconditioner	SetTemperatureOnDevice	zmień temperaturę na termostacie w łazience	o o o o o b-device_name
Airconditioner	SetTemperatureOnDevice	zmień temperaturę na w przedpokoju	o o o o b-device_name
Airconditioner	SetTemperatureToValue	nastaw mój termostat na 27 stopnie	o o o o b-value i-value
Airconditioner	SetTemperatureToValue	nastaw temperaturę na moim termostacie na 26 stopnie	o o o o o o b-value i-value
Airconditioner	SetTemperatureToValue	nastaw temperaturę na termostacie na 25 stopnie	o o o o o b-value i-value
Airconditioner	SetTemperatureToValue	ustaw mój termostat na 24 stopnie	o o o o b-value i-value
Airconditioner	SetTemperatureToValue	ustaw temperaturę na moim termostacie na 23 stopnie	o o o o o o b-value i-value
Airconditioner	SetTemperatureToValue	ustaw temperaturę na termostacie na 22 stopnie	o o o o o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	nastaw moim termostacie w przedpokoju na 23 stopnie	o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	nastaw temperaturę na 26 stopnie na termostacie w salonie	o o o b-value i-value o o o b-device_name
Airconditioner	SetTemperatureToValueOnDevice	nastaw temperaturę na 27 stopnie na moim termostacie w kuchnii	o o o b-value i-value o o o o b-device_name
Airconditioner	SetTemperatureToValueOnDevice	nastaw temperaturę na moim termostacie w sypialnii na 25 stopnie	o o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	nastaw temperaturę na termostacie w łazience na 24 stopnie	o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	nastaw termostacie w kuchnii na 22 stopnie	o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	ustaw moim termostacie w kuchnii na 23 stopnie	o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	ustaw temperaturę na 26 stopnie na termostacie w sypialnii	o o o b-value i-value o o o b-device_name
Airconditioner	SetTemperatureToValueOnDevice	ustaw temperaturę na 27 stopnie na moim termostacie w salonie	o o o b-value i-value o o o o b-device_name
Airconditioner	SetTemperatureToValueOnDevice	ustaw temperaturę na moim termostacie w łazience na 25 stopnie	o o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	ustaw temperaturę na termostacie w przedpokoju na 24 stopnie	o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	ustaw termostacie w salonie na 22 stopnie	o o o b-device_name o b-value i-value
Airconditioner	TurnOff	odetnij klimatyzacja	o b-av_alias
Airconditioner	TurnOff	przestań używać klimatyzator	o o b-av_alias
Airconditioner	TurnOff	wygaś system chłodzenia	o b-av_alias i-av_alias
Airconditioner	TurnOff	wyłącz klima	o b-av_alias
Airconditioner	TurnOff	wyłącz klimatyzację	o b-av_alias
Airconditioner	TurnOn	uruchom klimatyzacja	o b-av_alias
Airconditioner	TurnOn	włącz klimatyzację	o b-av_alias
Airconditioner	TurnOn	włącz klimatyzator	o b-av_alias
Calendar	AddEventOnDateWithDate	czwartek 20 zapisz o nazwie kolacja z andrzejem	b-event_date i-event_date o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	czwartek 21 dodaj nowe wydarzenie o nazwie 1on1	b-event_date i-event_date o o o o o b-event_name
Calendar	AddEventOnDateWithDate	czwartek 21 zanotuj w kalendarzu przypomnienie o nazwie walentynki	b-event_date i-event_date o o o o o o b-event_name
Calendar	AddEventOnDateWithDate	czwartek zapisz przypomnienie o nazwie walentynki	b-event_date o o o o b-event_name
Calendar	AddEventOnDateWithDate	dodaj nowe przypomnienie do kalendarza o nazwie kolacja z andrzejem na poniedziałek	o o o o o o o b-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe przypomnienie do kalendarza o nazwie perkusja w następną środę	o o o o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe przypomnienie o nazwie kolacja z eweliną w wtorek 15	o o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe przypomnienie o nazwie spotkanie z kubą na wtorek	o o o o o b-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe spotkanie do kalendarza o nazwie urodziny magdy na poniedziałek 11	o o o o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe spotkanie do kalendarza o nazwie urodziny taty w następny poniedziałek	o o o o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe spotkanie o nazwie fryzjer na następną sobotę	o o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe spotkanie o nazwie spotkanie z anią w środę	o o o o o b-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe wydarzenie do kalendarza o nazwie 1on1 w czwartek	o o o o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe wydarzenie do kalendarza o nazwie wstęp do filozofii na ten czwartek	o o o o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe wydarzenie o nazwie dzień ojca na czwartek 20	o o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj nowe wydarzenie o nazwie wakacje w następny czwartek	o o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj przypomnienie do kalendarza o nazwie dzień matki w piątek 22	o o o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj przypomnienie do kalendarza o nazwie walentynki na środę 19	o o o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj przypomnienie o nazwie perkusja na ten piątek	o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj przypomnienie o nazwie strzyżenie męskie w ten poniedziałek	o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj spotkanie do kalendarza o nazwie kolacja z andrzejem w piątek 25	o o o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj spotkanie do kalendarza o nazwie kolacja z eweliną na poniedziałek 9	o o o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj spotkanie o nazwie spotkanie z kubą w czwartek 21	o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj spotkanie o nazwie urodziny taty na tę środę	o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie do kalendarza o nazwie spotkanie z anią na ten wtorek	o o o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie do kalendarza o nazwie urodziny magdy w następny piątek	o o o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie 1on1 na piątek	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie fryzjer w środę 17	o o o o b-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	następny czwartek zapisz wydarzenie o nazwie perkusja	b-event_date i-event_date o o o o b-event_name
Calendar	AddEventOnDateWithDate	następny piątek dodaj przypomnienie o nazwie wakacje	b-event_date i-event_date o o o o b-event_name
Calendar	AddEventOnDateWithDate	następny piątek zanotuj w kalendarzu wydarzenie o nazwie perkusja	b-event_date i-event_date o o o o o o b-event_name
Calendar	AddEventOnDateWithDate	następny poniedziałek zapisz w kalendarzu spotkanie o nazwie wstęp do filozofii	b-event_date i-event_date o o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	następną sobotę zapisz w kalendarzu dzień matki	b-event_date i-event_date o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	następną środę zanotuj wydarzenie o nazwie urodziny magdy	b-event_date i-event_date o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	piątek 22 zapisz kolacja z eweliną	b-event_date i-event_date o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	piątek 25 dodaj nowe spotkanie o nazwie spotkanie z anią	b-event_date i-event_date o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	piątek dodaj wydarzenie o nazwie walentynki do kalendarza	b-event_date o o o o b-event_name o o
Calendar	AddEventOnDateWithDate	piątek zanotuj przypomnienie o nazwie spotkanie z kubą	b-event_date o o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	poniedziałek 11 zapisz w kalendarzu wydarzenie o nazwie wakacje	b-event_date i-event_date o o o o o o b-event_name
Calendar	AddEventOnDateWithDate	poniedziałek 9 dodaj nowe wydarzenie o nazwie fryzjer do kalendarza	b-event_date i-event_date o o o o o b-event_name o o
