domain	intent	utterance	bio
Contacts	OpenContacts	show my contacts	o o o
Contacts	OpenContacts	display my contacts	o o o
Contacts	OpenMyContact	display my contact's info	o o o o
Contacts	OpenMyContact	open my contact's info	o o o o
Contacts	EditContactWithName	edit my contact felicdad	o o o b-name
Contacts	EditContactWithName	edit my contact steven moses	o o o b-name i-name
Contacts	EditContactWithName	edit my contact ruby	o o o b-name
Contacts	EditContactWithName	edit my contact liu	o o o b-name
Contacts	EditContactWithName	edit my contact shay	o o o b-name
Contacts	EditContactWithName	edit my contact dyana	o o o b-name
Contacts	EditContactWithName	open my contact matthews for edition	o o o b-name o o
Contacts	EditContactWithName	open my contact tressia for edition	o o o b-name o o
Contacts	EditContactWithName	open my contact pamelina for edition	o o o b-name o o
Contacts	EditContactWithNumber	change the name of my contact with number 615 555 0179	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number 518 555 0188	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number +1 202 555 0175	o o o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number 615 555 0175	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number +1 803 555 0171	o o o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditNumberInContactWithName	change the number of my contact sandie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact diane-marie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact william	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact gabie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact beutler	o o o o o o b-name
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number +1 701 555 0194 in contact garrity as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 617 555 0135 in contact donna fulton as private	o o o b-phone_number i-phone_number i-phone_number o o b-name i-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 803 555 0171 in contact jaf as home	o o o b-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number +1 605 555 0184 in contact sublett as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 617 555 0112 in contact lezlie as private	o o o b-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	ShowContactWithEmail	display my contacts with email adda.gurl@outlook.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email jordan.dilisio@hotmail.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email claresta@schwab.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email candice@fqnet.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email adam.sagan@gmail.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email nessy@pacbell.net	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email ivonne.jonie@outlook.com	o o o o o o b-email
