domain	intent	utterance	bio
Email	OpenEmail	check email	o o
Email	OpenEmail	check email inbox	o o o
Email	OpenEmail	check gmail	o o
Email	OpenEmail	check my email	o o o
Email	OpenEmail	check my email inbox	o o o o
Email	OpenEmail	check my gmail	o o o
Email	OpenEmail	get email inbox	o o o
Email	OpenEmail	get gmail	o o
Email	OpenEmail	get gmail inbox	o o o
Email	OpenEmail	get my email	o o o
Email	OpenEmail	get my email inbox	o o o o
Email	OpenEmail	get my gmail	o o o
Email	OpenEmail	get my gmail inbox	o o o o
Email	OpenEmail	check my latest email	o o o o
Email	OpenEmail	check my emails	o o o
Email	OpenEmail	check my emails on gmail	o o o o o
Email	OpenEmail	check my gmail inbox	o o o o
Email	OpenEmail	get my latest email	o o o o
Email	OpenEmail	get my emails	o o o
Email	OpenEmail	get my emails on gmail	o o o o o
Email	OpenEmail	get my gmail inbox	o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	email tally@houston.rr.com with subject greetings and message thank you for contacting john	o b-to o o b-subject o o b-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	email virginia@outlook.com with subject meeting and message thanks for getting back to me	o b-to o o b-subject o o b-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	email marron with subject re webcasting and congress and message thank you for your prompt reply	o b-to o o b-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	email cynar with subject status of sb47x read this and message thank you	o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	email manton with subject fw 4 month rolling forecast and message i look forward to hearing from you	o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	send an email to cindy olson with subject fw litigation with message you can't unsubscribe from this list	o o o o b-to i-to o o b-subject i-subject o o b-message i-message i-message i-message i-message i-message
