domain	intent	utterance	bio
Twitter	OpenTwitter	show my tweets	o o o
Twitter	OpenTwitter	show my recent tweets	o o o o
Twitter	OpenTwitter	show my posts on twitter	o o o o o
Twitter	OpenTwitter	display my recent tweets	o o o o
Twitter	OpenTwitter	display my posts on twitter	o o o o o
Twitter	OpenTwitter	display tweets i made	o o o o
Twitter	FollowUser	follow amilee110 on twitter	o b-username o o
Twitter	FollowUser	become a follower of emilyclaiborne on twitter	o o o o b-username o o
Twitter	FollowUser	become a twitter follower of kmore	o o o o o b-username
Twitter	UnfollowUser	unfollow mikieee182 on twitter	o b-username o o
Twitter	UnfollowUser	stop following dirtysouth777 on twitter	o o b-username o o
Twitter	SendMessage	direct message on twitter saying tom hanks is on tomorrow sweet	o o o o o b-message i-message i-message i-message i-message i-message
Twitter	SendMessage	direct message on twitter saying will tweet later peace	o o o o o b-message i-message i-message i-message
Twitter	SendMessage	dm on twitter saying waiting on that chat link	o o o o b-message i-message i-message i-message i-message
Twitter	SendMessage	dm on twitter saying i just failed my biology final	o o o o b-message i-message i-message i-message i-message i-message
Twitter	SendMessage	dm on twitter saying ob in class last day of it	o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	message on twitter saying sleep over with coco pheobe merideth and genivive	o o o o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	message on twitter saying is off to burrs todayy	o o o o b-message i-message i-message i-message i-message
Twitter	SendMessage	send a direct message on twitter saying outside readinghopefully i don't get burned again	o o o o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	send a direct message on twitter saying its been raining like all month	o o o o o o o b-message i-message i-message i-message i-message i-message
Twitter	SendMessage	send a dm on twitter saying is in a good mood	o o o o o o b-message i-message i-message i-message i-message
Twitter	SendMessage	send a dm on twitter saying i am on photo buket	o o o o o o b-message i-message i-message i-message i-message
Twitter	SendMessage	send a dm on twitter saying on my way home justt dropped sherry off	o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	send a message on twitter saying alright off to bed	o o o o o o b-message i-message i-message i-message
Twitter	SendMessage	send a message on twitter saying grrrthe dog barked all night longno sleep for me	o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	send a message on twitter saying pixar has out done itself with up!	o o o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	direct message on twitter to ohsnapitscatie saying remember when i had friends hahaha i'm a hermit	o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	direct message on twitter to chunkyface saying got a gb test now	o o o o o b-username o b-message i-message i-message i-message i-message
Twitter	SendMessageToUser	direct message on twitter to jonradical saying busy busy worked all weekend	o o o o o b-username o b-message i-message i-message i-message i-message
Twitter	SendMessageToUser	dm on twitter to renelae saying a few more hours being impatient here	o o o o b-username o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	dm on twitter to muertenthesnw saying got the post holiday blues	o o o o b-username o b-message i-message i-message i-message i-message
Twitter	SendMessageToUser	dm on twitter to luvmyrandomness saying what a beautiful day	o o o o b-username o b-message i-message i-message i-message
Twitter	SendMessageToUser	message on twitter to saraahjay saying i lost my beard this morning	o o o o b-username o b-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	message on twitter to dbwais saying misses my sister and 2 stepsisters	o o o o b-username o b-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a direct message on twitter to fashionistanbul saying just made his deck probably about 3x better	o o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a direct message on twitter to nestasw saying its such a beautiful day	o o o o o o o b-username o b-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a direct message on twitter to chrissysprinkle saying goodnight world and all who inhabit it	o o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a dm on twitter to melissaal saying i be listenin to then there were none	o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a dm on twitter to flowersbyfarha saying it rains everytime i go to pay rent	o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a dm on twitter to morefeen saying never watching a film about a dog again	o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a message on twitter to rahulsah saying correct me if i'm wrong but i love my friends	o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessageToUser	send a message on twitter to xxlucyh saying thinking of a life as a star	o o o o o o b-username o b-message i-message i-message i-message i-message i-message i-message
Twitter	ShowTwittsWithHashtag	display tweets about weather	o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets about pentax	o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets about farrahfawcettrip	o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets about stumble	o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets about bcleed09	o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets about qgoogle on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets about dublinbus on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets about jugglecon on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets about fastfood on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets about masheu09 on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets about backgroundimage on twitter	o o o b-hashtag o o
Twitter	ShowTwittsWithHashtag	display tweets with hashtag gopensgo	o o o o b-hashtag
Twitter	ShowTwittsWithHashtag	display tweets with hashtag pcatl	o o o o b-hashtag
