domain	intent	utterance	bio
Contacts	OpenContacts	abre mis contactos	o o o
Contacts	OpenContacts	ábreme mis contactos	o o o
Contacts	OpenContacts	muestra mis contactos	o o o
Contacts	OpenMyContact	ábreme la información de mi contacto	o o o o o o
Contacts	OpenMyContact	muestra la información de mi contacto	o o o o o o
Contacts	OpenMyContact	muéstrame la información de mi contacto	o o o o o o
Contacts	ShowContactWithEmail	abre mis contactos con el correo graci.vargas@gmx.es	o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos con el correo juanle_orozco@gmail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos con el email ramón@proton.com	o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos con el email elena_luna@proton.com	o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos con el email rodrigo.arismendi@hotmail.es	o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el correo alejo@proton.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el correo rodo_olaizola@yahoo.es	o o o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el correo benji@gmail.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el email adela@yahoo.es	o o o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el email val.laxalt@outlook.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	abre mis contactos de google con el email veru@gmail.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos con el correo malala_@hotmail.es	o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos con el correo guadalupe@proton.com	o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos con el correo berto.herrera@outlook.com	o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos con el email lourdes.ortega@outlook.com	o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos con el email estefani_ruiz@zoho.mail.eu	o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo juan.romero@gmx.es	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo aiza@zoho.mail.eu	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo moni_mariátegui@outlook.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo electrónico marijó.oquendo@mail.com	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo electrónico jesús@proton.com	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el correo electrónico felipe@gmx.es	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el email chari@gmail.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el email ramón@proton.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muestra mis contactos de google con el email armendáriz@mail.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el correo jesús@hotmail.es	o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el correo mayka_agirre@yahoo.es	o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el correo electrónico ángela.marín@gmx.es	o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el correo electrónico teresaetchemendy@outlook.com	o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el correo electrónico laurita@yahoo.es	o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el email susi.de.miñaur@mail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el email eduardo_carrera@zoho.mail.eu	o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos con el email montse_carrera@mail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el correo espe@zoho.mail.eu	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el correo carlito@proton.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el correo electrónico sol@zoho.mail.eu	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el correo electrónico robertito@gmail.com	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el correo electrónico larrañaga@yahoo.es	o o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el email guillo@gmail.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el email arcenito_irala@zoho.mail.eu	o o o o o o o o b-email
Contacts	ShowContactWithEmail	muéstrame mis contactos de google con el email paca@gmx.es	o o o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el correo camus@proton.com	o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el correo antuco_rodríguez@gmx.es	o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el correo electrónico antoñito_bengoetxea@gmx.es	o o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el correo electrónico marianna_allende@outlook.com	o o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el correo electrónico chayo_luna@gmail.com	o o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el email iturri@outlook.com	o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el email ori_saldívar@gmail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos con el email consolación@mail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos de google con el correo gómez@outlook.com	o o o o o o o o b-email
Contacts	ShowContactWithEmail	ábreme mis contactos de google con el correo elizalde@zoho.mail.eu	o o o o o o o o b-email
