domain	intent	utterance	bio
Email	OpenEmail	verifica email	o o
Email	OpenEmail	verifica gmail	o o
Email	OpenEmail	verifica mi email	o o o
Email	OpenEmail	verifica mi gmail	o o o
Email	OpenEmail	verifica bandeja de entrada de email	o o o o o o
Email	OpenEmail	verifica bandeja de entrada de mi email	o o o o o o o
Email	OpenEmail	verifica bandeja de entrada de mi gmail	o o o o o o o
Email	OpenEmail	verifica la bandeja de entrada de email	o o o o o o o
Email	OpenEmail	verifica la bandeja de entrada de gmail	o o o o o o o
Email	OpenEmail	verifica la bandeja de entrada de mi email	o o o o o o o o
Email	OpenEmail	verifica la bandeja de entrada de mi gmail	o o o o o o o o
Email	OpenEmail	dame email	o o
Email	OpenEmail	dame gmail	o o
Email	OpenEmail	dame mi email	o o o
Email	OpenEmail	dame mi gmail	o o o
Email	OpenEmail	dame bandeja de entrada de email	o o o o o o
Email	OpenEmail	dame bandeja de entrada de gmail	o o o o o o
Email	OpenEmail	dame bandeja de entrada de mi gmail	o o o o o o o
Email	OpenEmail	dame la bandeja de entrada de email	o o o o o o o
Email	OpenEmail	dame la bandeja de entrada de gmail	o o o o o o o
Email	OpenEmail	dame la bandeja de entrada de mi email	o o o o o o o o
Email	OpenEmail	dame la bandeja de entrada de mi gmail	o o o o o o o o
Email	OpenEmail	verifica mis emails de la categoría principal	o o o o o o o
Email	OpenEmail	dame mis emails de la categoría principal	o o o o o o o
Email	OpenEmail	dame mis correos de la categoría principal	o o o o o o o
Email	OpenEmail	verifica mi email más reciente	o o o o o
Email	OpenEmail	verifica mis emails	o o o
Email	OpenEmail	verifica mis mis emails en gmail	o o o o o o
Email	OpenEmail	verifica mis mi bandeja de entrada de gmail	o o o o o o o o
Email	OpenEmail	dame mi email más reciente	o o o o o
Email	OpenEmail	dame mis mis emails en gmail	o o o o o o
Email	OpenEmail	dame mis mi bandeja de entrada de gmail	o o o o o o o o
Email	ShowEmailFromSender	dame emails de poncho@yahoo.es	o o o b-sender_address
Email	ShowEmailFromSender	dame emails de marifer@mail.com	o o o b-sender_address
Email	ShowEmailFromSender	dame emails de zavala@hotmail.es	o o o b-sender_address
Email	ShowEmailFromSender	dame emails de feña@gmx.es	o o o b-sender_address
Email	ShowEmailFromSender	dame emails de cristóbal@gmail.com	o o o b-sender_address
Email	ShowEmailFromSender	dame emails que recibí de ortega_@gmx.es	o o o o o b-sender_address
Email	ShowEmailFromSender	dame emails que recibí de ruy@proton.com	o o o o o b-sender_address
Email	ShowEmailFromSender	dame emails que recibí de rodríguez@yahoo.es	o o o o o b-sender_address
Email	ShowEmailFromSender	dame emails que recibí de maripí@outlook.com	o o o o o b-sender_address
Email	ShowEmailFromSender	dame emails que recibí de orjuela@proton.com	o o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de tomasito@outlook.com	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de rogelio@mail.com	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de jaida@gmail.com	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de cecilia@outlook.com	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de julín@yahoo.es	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails de urrutia@hotmail.es	o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails que recibí de rica@gmail.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails que recibí de florchi@proton.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails que recibí de talo@mail.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails que recibí de xus@yahoo.es	o o o o o o b-sender_address
Email	ShowEmailFromSender	dame mis emails que recibí de mada@zoho.mail.eu	o o o o o o b-sender_address
Email	ShowEmailFromSender	verifica emails de lizárraga@gmx.es	o o o b-sender_address
Email	ShowEmailFromSender	verifica emails de socorro@zoho.mail.eu	o o o b-sender_address
Email	ShowEmailFromSender	verifica emails de javier@gmx.es	o o o b-sender_address
Email	ShowEmailFromSender	verifica emails de elissalde@zoho.mail.eu	o o o b-sender_address
Email	ShowEmailFromSender	verifica emails de laura@proton.com	o o o b-sender_address
Email	ShowEmailFromSender	verifica emails que recibí de juampi@hotmail.es	o o o o o b-sender_address
Email	ShowEmailFromSender	verifica emails que recibí de timoteo@mail.com	o o o o o b-sender_address
Email	ShowEmailFromSender	verifica emails que recibí de visitación@mail.com	o o o o o b-sender_address
