domain	intent	utterance	bio
Slack	OpenSlack	abre slack	o o
Slack	CheckLastMessages	verifica mis mensajes de slack recientes	o o o o o o
Slack	CheckLastMessages	verifica mi historia de canal de slack	o o o o o o o
Slack	CheckLastMessages	dame mis mensajes de slack recientes	o o o o o o
Slack	CheckUserStatus	el estado de mari santi en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de s.arruabarrena en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de juanja en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de juan ignacio en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de kenita jiménez en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de tonino arrieta en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de emilio iturri en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de paz aramburu en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de esperanza en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de juan estrada en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de isabel juárez en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de c.aldana en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de p.arruabarrena en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de lipe en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de leyla larreategui en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de juan salvador en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de t.iglesias en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de f.alcorta en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de juanlu en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de glorimar en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de neto sanz en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de antuco flores en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de chuybeto ochoa en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de mili en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de teresina ursúa en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de valentinita gamboa en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de güicho alcorta en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de t.marín en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de r.arrizabalaga en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de bea mariñelarena en slack	o o o b-username i-username o o
Slack	CheckUserStatus	el estado de marichú en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de g.luna en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de s.hernández en slack	o o o b-username o o
Slack	CheckUserStatus	el estado de i.cano en slack	o o o b-username o o
