domain	intent	utterance	bio
Twitter	OpenTwitter	muestra mis tuits	o o o
Twitter	OpenTwitter	muestra mis tuits recientes	o o o o
Twitter	OpenTwitter	muestra mis tweets	o o o
Twitter	OpenTwitter	muestra mis tweets recientes	o o o o
Twitter	OpenTwitter	muestra mis publicaciones en twitter	o o o o o
Twitter	OpenTwitter	muestra mis publicaciones en twitter recientes	o o o o o o
Twitter	OpenTwitter	muestra tuits que publiqué	o o o o
Twitter	OpenTwitter	muestra tuits que he publicado	o o o o o
Twitter	OpenTwitter	muestra tweets que publiqué	o o o o
Twitter	OpenTwitter	muéstrame mis tuits recientes	o o o o
Twitter	OpenTwitter	muéstrame mis tweets	o o o
Twitter	OpenTwitter	muéstrame mis tweets recientes	o o o o
Twitter	OpenTwitter	muéstrame mis publicaciones en twitter	o o o o o
Twitter	OpenTwitter	muéstrame mis publicaciones en twitter recientes	o o o o o o
Twitter	OpenTwitter	muéstrame tuits que publiqué	o o o o
Twitter	OpenTwitter	muéstrame tuits que he publicado	o o o o o
Twitter	OpenTwitter	muéstrame tweets que publiqué	o o o o
Twitter	OpenTwitter	muéstrame tweets que he publicado	o o o o o
Twitter	FollowUser	empieza a seguir a amilee110 en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a emilyclaiborne en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a kmore en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a myntmag en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a mikieee182 en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a dirtysouth777 en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a ohsnapitscatie en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a chunkyface en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir a jonradical en twitter	o o o o b-username o o
Twitter	FollowUser	empieza a seguir en twitter a luvmyrandomness	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a summerbabe16	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a saraahjay	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a dbwais	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a fashionistanbul	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a nestasw	o o o o o o b-username
Twitter	FollowUser	empieza a seguir en twitter a chrissysprinkle	o o o o o o b-username
