domain	intent	utterance	bio
Airconditioner	TurnOff	switch off the heating	o o o b-av_alias
Airconditioner	TurnOff	switch off the ac	o o o b-av_alias
Airconditioner	TurnOff	switch the aircon off	o o b-av_alias o
Airconditioner	TurnOff	turn off the cooling system	o o o b-av_alias i-av_alias
Airconditioner	TurnOff	turn off the hvac	o o o b-av_alias
Airconditioner	TurnOff	turn the heating off	o o b-av_alias o
Airconditioner	TurnOn	switch on the air conditioning	o o o b-av_alias i-av_alias
Airconditioner	TurnOn	switch the cooling system on	o o b-av_alias i-av_alias o
Airconditioner	TurnOn	switch the hvac on	o o b-av_alias o
Airconditioner	TurnOn	turn on the heating	o o o b-av_alias
Airconditioner	TurnOn	turn on the ac	o o o b-av_alias
Airconditioner	TurnOn	turn the air conditioning on	o o b-av_alias i-av_alias o
Airconditioner	ChangeTemperature	change the temperature on my thermostat	o o o o o o
Airconditioner	SetTemperatureToValue	set temperature on my thermostat to 78 degrees fahrenheit	o o o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValue	set the temperature to 79 degrees fahrenheit on my thermostat	o o o o b-value i-value i-value o o o
Airconditioner	SetTemperatureToValueOnDevice	set my living room thermostat to 22 degrees celsius	o o b-device_name i-device_name o o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	set temperature on my kitchen thermostat to 24 degree	o o o o b-device_name o o b-value i-value
Airconditioner	SetTemperatureBetweenValues	set the temperature between 23 degree and 29 degree on my thermostat	o o o o o o o o o o o o
Airconditioner	SetTemperatureOnDevice	change the temperature on my bedroom thermostat	o o o o o b-device_name o
Airconditioner	GetHumidity	show the humidity	o o o
Airconditioner	GetHumidity	get the humidity	o o o
Airconditioner	GetHumidity	get the humidity level	o o o o
Airconditioner	GetHumidity	check the humidity	o o o
Airconditioner	GetTemperature	what temperature do I have in here according to my hvac ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature do we have in here according to my heating ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature do we have in here according to my ac ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature is it in here according to my aircon ?	o o o o o o o o o b-av_alias o
Airconditioner	GetTemperatureFromDevice	check the temperature of the hall room temperature sensor	o o o o o b-device_name o o o
Airconditioner	GetTemperatureFromDevice	check what the bedroom home temperature sensor says	o o o b-device_name o o o o
Airconditioner	GetTemperatureFromDevice	check what the living room home temperature sensor says	o o o b-device_name i-device_name o o o o
Airconditioner	GetTemperatureFromDevice	what does the kitchen indoor temperature sensor say ?	o o o b-device_name o o o o o
Airconditioner	GetTemperatureFromDevice	what does the hall indoor temperature sensor say ?	o o o b-device_name o o o o o
Airconditioner	GetTemperatureFromDevice	what does the bedroom indoor temperature sensor show ?	o o o b-device_name o o o o o
Calendar	OpenCalendar	show my calendar	o o o
Calendar	OpenCalendar	display my calendar	o o o
Calendar	CheckCalendarOnDate	whats on my schedule in 1 hour	o o o o b-date i-date i-date
Calendar	CheckCalendarOnDate	whats on my schedule on 15th may	o o o o b-date i-date i-date
Calendar	CheckCalendarOnDate	whats on my schedule today	o o o o b-date
Calendar	CheckCalendarOnDate	whats on my schedule next wednesday	o o o o b-date i-date
Calendar	CheckCalendarOnDate	whats on my schedule in 4 hours	o o o o b-date i-date i-date
Calendar	CheckCalendarOnDate	whats on my schedule in 45 minutes	o o o o b-date i-date i-date
Calendar	AddEventWithName	add an event called hairdresser	o o o o b-event_name
Calendar	AddEventWithName	add an event called mom birthday	o o o o b-event_name i-event_name
Calendar	AddEventWithName	add an event called meeting with anna	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	add an event called dinner with jon	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	add an event called press conference to calendar	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	add an event called fair to calendar	o o o o b-event_name o o
Calendar	AddEventWithName	add an event called dedication to calendar	o o o o b-event_name o o
Calendar	AddEventWithName	add an event called groundbreaking to calendar	o o o o b-event_name o o
Calendar	AddEventOnDateWithDate	add an event called conference on tomorrow	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	add an event called health on tuesday	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	add an event called consumer show on 1st march	o o o o b-event_name i-event_name o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	add an event called business on monday	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	add an event called party on wednesday	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	add an event called meeting - council to calendar on 15th may	o o o o b-event_name i-event_name i-event_name o o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	add an event called education to calendar on friday	o o o o b-event_name o o o b-event_date
Calendar	AddEventOnDateWithDate	add an event called networking event to calendar on 30th may	o o o o b-event_name i-event_name o o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	add an event called hackathon to calendar on 23 march	o o o o b-event_name o o o b-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	add an event called grand opening to calendar on next friday	o o o o b-event_name i-event_name o o o b-event_date i-event_date
Calendar	NotifyOnEventStart	notify me when an appointment on my calendar begins	o o o o o o o o o
Calendar	NotifyOnEventStart	notify me when an event on my calendar begins	o o o o o o o o o
Calendar	NotNotifyOnEventStart	do not notify me when an meeting on my calendar begins	o o o o o o o o o o o
Calendar	NotNotifyOnEventStart	do not notify me when an appointment on my calendar begins	o o o o o o o o o o o
Calendar	NotNotifyOnEventInLocation	do not notify me when an appointment on my calendar at location home begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an appointment on my calendar at location building b begins	o o o o o o o o o o o o b-location i-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an appointment on my calendar at location slack begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an appointment on my calendar at location work begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an event on my calendar at location facebook begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an event on my calendar at location orion conference room begins	o o o o o o o o o o o o b-location i-location i-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an event on my calendar at location university begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an event on my calendar at location capus begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an event on my calendar at location lemon conference room begins	o o o o o o o o o o o o b-location i-location i-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an meeting on my calendar at location floor 12 begins	o o o o o o o o o o o o b-location i-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an meeting on my calendar at location nettie begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an meeting on my calendar at location blountstown begins	o o o o o o o o o o o o b-location o
Calendar	NotNotifyOnEventInLocation	do not notify me when an meeting on my calendar at location sunrise beach begins	o o o o o o o o o o o o b-location i-location o
Calendar	NotifyOnEventInLocation	notify me when an appointment on my calendar at location shacklefords begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an appointment on my calendar at location molena begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an appointment on my calendar at location sutter begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an appointment on my calendar at location cragford begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an event on my calendar at location aydlett begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an event on my calendar at location brill begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an event on my calendar at location parachute begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an event on my calendar at location nemacolin begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an event on my calendar at location shippensburg begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an meeting on my calendar at location pine mountain club begins	o o o o o o o o o o b-location i-location i-location o
Calendar	NotifyOnEventInLocation	notify me when an meeting on my calendar at location helen begins	o o o o o o o o o o b-location o
Calendar	NotifyOnEventInLocation	notify me when an meeting on my calendar at location boxholm begins	o o o o o o o o o o b-location o
Contacts	OpenContacts	show my contacts	o o o
Contacts	OpenContacts	display my contacts	o o o
Contacts	OpenMyContact	display my contact's info	o o o o
Contacts	OpenMyContact	open my contact's info	o o o o
Contacts	EditContactWithName	edit my contact felicdad	o o o b-name
Contacts	EditContactWithName	edit my contact steven moses	o o o b-name i-name
Contacts	EditContactWithName	edit my contact ruby	o o o b-name
Contacts	EditContactWithName	edit my contact liu	o o o b-name
Contacts	EditContactWithName	edit my contact shay	o o o b-name
Contacts	EditContactWithName	edit my contact dyana	o o o b-name
Contacts	EditContactWithName	open my contact matthews for edition	o o o b-name o o
Contacts	EditContactWithName	open my contact tressia for edition	o o o b-name o o
Contacts	EditContactWithName	open my contact pamelina for edition	o o o b-name o o
Contacts	EditContactWithNumber	change the name of my contact with number 615 555 0179	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number 518 555 0188	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number +1 202 555 0175	o o o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number 615 555 0175	o o o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	change the name of my contact with number +1 803 555 0171	o o o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditNumberInContactWithName	change the number of my contact sandie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact diane-marie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact william	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact gabie	o o o o o o b-name
Contacts	EditNumberInContactWithName	change the number of my contact beutler	o o o o o o b-name
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number +1 701 555 0194 in contact garrity as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 617 555 0135 in contact donna fulton as private	o o o b-phone_number i-phone_number i-phone_number o o b-name i-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 803 555 0171 in contact jaf as home	o o o b-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number +1 605 555 0184 in contact sublett as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	set the number 617 555 0112 in contact lezlie as private	o o o b-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	ShowContactWithEmail	display my contacts with email adda.gurl@outlook.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email jordan.dilisio@hotmail.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email claresta@schwab.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email candice@fqnet.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my contacts with email adam.sagan@gmail.com	o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email nessy@pacbell.net	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email ivonne.jonie@outlook.com	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email dredi.sankey@cts.com	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email tybi.hitoshi@gmail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email gonca@elektro.com.br	o o o o o o b-email
Contacts	ShowContactWithEmail	display my google contacts with email debbi.meadow@thermoecotek.com	o o o o o o b-email
Contacts	ShowContactWithEmail	open my contacts with email bill williams@enron_development	o o o o o b-email i-email
Contacts	ShowContactWithEmail	open my contacts with email katharyn@outlook.com	o o o o o b-email
Contacts	ShowContactWithEmail	open my contacts with email marilyn.canice@cts.com	o o o o o b-email
Contacts	ShowContactWithEmail	open my contacts with email kimmie.lisan@gedaz.com	o o o o o b-email
Contacts	ShowContactWithEmail	open my contacts with email andrew.wu@enron.com	o o o o o b-email
Contacts	ShowContactWithEmail	open my google contacts with email lottie@gmail.com	o o o o o o b-email
Contacts	ShowContactWithEmail	open my google contacts with email netta@hotmail.com	o o o o o o b-email
