domain	intent	utterance	bio
Contacts	OpenContacts	pokaż kontakty	o o
Contacts	OpenContacts	pokaż moje kontakty	o o o
Contacts	OpenContacts	pokaż listę kontaktów	o o o
Contacts	OpenContacts	wyświetl kontakty	o o
Contacts	OpenContacts	wyświetl moje kontakty	o o o
Contacts	OpenContacts	wyświetl listę kontaktów	o o o
Contacts	OpenContacts	wyświetl moją listę kontaktów	o o o o
Contacts	OpenContacts	otwórz kontakty	o o
Contacts	OpenContacts	otwórz moje kontakty	o o o
Contacts	OpenContacts	otwórz listę kontaktów	o o o
Contacts	OpenContacts	otwórz moją listę kontaktów	o o o o
Contacts	OpenMyContact	pokaż moje informacje w kontaktach	o o o o o
Contacts	OpenMyContact	pokaż mój wpis w kontaktach	o o o o o
Contacts	OpenMyContact	pokaż moją wizytkówkę	o o o
Contacts	OpenMyContact	wyświetl moje informacje w kontaktach	o o o o o
Contacts	OpenMyContact	wyświetl moją wizytkówkę	o o o
Contacts	OpenMyContact	otwórz moje informacje w kontaktach	o o o o o
Contacts	OpenMyContact	otwórz mój wpis w kontaktach	o o o o o
Contacts	OpenMyContact	otwórz moją wizytkówkę	o o o
Contacts	ShowContactWithEmail	pokaż kontakt o adresie email radosław.kędzierski@gazeta.pl	o o o o o b-email
Contacts	ShowContactWithEmail	pokaż kontakt o adresie mailowym benedykt11208@onet.pl	o o o o o b-email
Contacts	ShowContactWithEmail	pokaż kontakt z emailem mariola28364@o2.pl	o o o o b-email
Contacts	ShowContactWithEmail	pokaż kontakt z mailem stanisław.towarek@wpl.pl	o o o o b-email
Contacts	ShowContactWithEmail	pokaż mój kontakt z adresem email janusz32171@wpl.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż mój kontakt o adresie email liliana11637@wpl.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż mój kontakt o adresie mailowym alfons25866@gazeta.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż mój kontakt z mailem zenobia.skiba@interia.pl	o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl kontakt z adresem email zenona.wyrzykowski@o2.pl	o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl kontakt o adresie email rafał.mazur@onet.pl	o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl kontakt o adresie mailowym bartłomiej3258@wpl.pl	o o o o o b-email
