domain	intent	utterance	bio
Email	OpenEmail	sprawdź emaile	o o
Email	OpenEmail	sprawdź gmaile	o o
Email	OpenEmail	sprawdź ostatnie gmaile	o o o
Email	OpenEmail	sprawdź ostatnie maile	o o o
Email	OpenEmail	sprawdź najnowsze emaile	o o o
Email	OpenEmail	sprawdź najnowsze gmaile	o o o
Email	OpenEmail	sprawdź najnowsze maile	o o o
Email	OpenEmail	sprawdź moje emaile	o o o
Email	OpenEmail	sprawdź moje gmaile	o o o
Email	OpenEmail	sprawdź moje maile	o o o
Email	OpenEmail	sprawdź moje ostatnie emaile	o o o o
Email	OpenEmail	sprawdź moje ostatnie gmaile	o o o o
Email	OpenEmail	sprawdź moje ostatnie maile	o o o o
Email	OpenEmail	sprawdź moje najnowsze emaile	o o o o
Email	OpenEmail	sprawdź moje najnowsze gmaile	o o o o
Email	OpenEmail	sprawdź moje najnowsze maile	o o o o
Email	OpenEmail	sprawdź czy dostałem nowe emaile	o o o o o
Email	OpenEmail	sprawdź czy dostałem nowe maile	o o o o o
Email	OpenEmail	sprawdź czy dostałam nowe emaile	o o o o o
Email	OpenEmail	sprawdź czy dostałam nowe maile	o o o o o
Email	ShowEmailFromSender	pokaż mi emaile które otrzymałem od alfreda.majewski@onet.pl	o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi emaile które otrzymałam od ilona1010@gmail.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi maile od agata.kalinowski@gazeta.pl	o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi maile które otrzymałem od marcin.zięba@gazeta.pl	o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi maile które otrzymałam od daniel21175@gmail.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje emaile od rozalia29474@o2.pl	o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje emaile które otrzymałem od maciej199@onet.pl	o o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje emaile które otrzymałam od bogusława30727@gmail.com	o o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje maile od janusz32171@wpl.pl	o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje maile które otrzymałem od benedykt11208@onet.pl	o o o o o o o b-sender_address
Email	ShowEmailFromSender	pokaż mi moje maile które otrzymałam od joachim.hoffmann@gazeta.pl	o o o o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi emaile od arnold.jankowski@gmail.com	o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi emaile które otrzymałem od edmund.wojciechowski@o2.pl	o o o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi emaile które otrzymałam od bożenna.szewczyk@o2.pl	o o o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi maile od diana.cichocki@gmail.com	o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi maile które otrzymałem od lech21428@gmail.com	o o o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi moje emaile od waleria.potok@gazeta.pl	o o o o o b-sender_address
Email	ShowEmailFromSender	wyświetl mi moje emaile które otrzymałem od adrianna.stawecki@wpl.pl	o o o o o o o b-sender_address
