domain	intent	utterance	bio
Gdrive	OpenGdrive	pokaż moje pliki z google drive	o o o o o o
Gdrive	OpenGdrive	pokaż moje pliki na google drive	o o o o o o
Gdrive	OpenGdrive	wyświetl moje pliki na google drive	o o o o o o
Gdrive	OpenGdrive	wyświetl moje pliki w google drive	o o o o o o
Gdrive	OpenGdrive	wylistuj moje pliki z google drive	o o o o o o
Gdrive	OpenGdrive	wylistuj moje pliki na google drive	o o o o o o
Gdrive	OpenGdrive	wylistuj moje pliki w google drive	o o o o o o
Gdrive	ShowFilesWithType	pokaż moje pliki z google drive o typie mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	pokaż moje pliki z google drive z typem txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	pokaż moje pliki na google drive o typie jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	pokaż moje pliki na google drive z typem mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	pokaż moje pliki w google drive o typie txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wyświetl moje pliki z google drive z typem txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wyświetl moje pliki na google drive o typie jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wyświetl moje pliki na google drive z typem mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wyświetl moje pliki w google drive o typie txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wyświetl moje pliki w google drive z typem jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki z google drive o typie mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki z google drive z typem txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki na google drive o typie jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki na google drive z typem mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki w google drive o typie txt	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	wylistuj moje pliki w google drive z typem jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithStar	pokaż moje pliki z google drive które oznaczyłem gwiazdką	o o o o o o o o o
Gdrive	ShowFilesWithStar	pokaż moje pliki z google drive oznaczone gwiazdką	o o o o o o o o
Gdrive	ShowFilesWithStar	pokaż moje pliki na google drive które oznaczyłem gwiazdką	o o o o o o o o o
Gdrive	ShowFilesWithStar	pokaż moje pliki na google drive oznaczone gwiazdką	o o o o o o o o
Gdrive	ShowFilesWithStar	pokaż moje pliki w google drive które oznaczyłem gwiazdką	o o o o o o o o o
Gdrive	ShowFilesWithStar	pokaż moje pliki w google drive oznaczone gwiazdką	o o o o o o o o
Gdrive	ShowFilesWithStar	wyświetl moje pliki z google drive które oznaczyłem gwiazdką	o o o o o o o o o
Gdrive	ShowFilesWithStar	wyświetl moje pliki z google drive oznaczone gwiazdką	o o o o o o o o
