domain	intent	utterance	bio
Slack	OpenSlack	otwórz slacka	o o
Slack	OpenSlack	otwórz aplikację slacka	o o o
Slack	OpenSlack	uruchom slacka	o o
Slack	CheckLastMessages	sprawdź historię kanału na slacku	o o o o o
Slack	CheckLastMessages	sprawdź ostatnie wiadomości na slacku	o o o o o
Slack	CheckLastMessages	sprawdź ostatnie historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	sprawdź najnowsze wiadomości na slacku	o o o o o
Slack	CheckLastMessages	sprawdź najnowsze historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	sprawdź moje wiadomości na slacku	o o o o o
Slack	CheckLastMessages	sprawdź moje historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	sprawdź moje ostatnie wiadomości na slacku	o o o o o o
Slack	CheckLastMessages	sprawdź moje ostatnie historię kanału na slacku	o o o o o o o
Slack	CheckLastMessages	sprawdź moje najnowsze wiadomości na slacku	o o o o o o
Slack	CheckLastMessages	pokaż historię kanału na slacku	o o o o o
Slack	CheckLastMessages	pokaż ostatnie wiadomości na slacku	o o o o o
Slack	CheckLastMessages	pokaż ostatnie historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	pokaż najnowsze wiadomości na slacku	o o o o o
Slack	CheckLastMessages	pokaż najnowsze historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	pokaż moje wiadomości na slacku	o o o o o
Slack	CheckLastMessages	pokaż moje historię kanału na slacku	o o o o o o
Slack	CheckLastMessages	pokaż moje ostatnie wiadomości na slacku	o o o o o o
Slack	CheckLastMessages	pokaż moje ostatnie historię kanału na slacku	o o o o o o o
Slack	CheckLastMessages	pokaż moje najnowsze wiadomości na slacku	o o o o o o
Slack	CheckUserStatus	czy bogumił kaczmarek jest aktywny na slacku	o b-username i-username o o o o
Slack	CheckUserStatus	czy wiktoria krawczyk jest w tym momencie aktywny	o b-username i-username o o o o o
Slack	CheckUserStatus	czy marianna skiba jest w tym momencie aktywny na slacku	o b-username i-username o o o o o o o
Slack	CheckUserStatus	czy a.wojciechowski jest w tej chwili aktywny	o b-username o o o o o
Slack	CheckUserStatus	czy aurelia jest w tej chwili aktywny na slacku	o b-username o o o o o o o
Slack	CheckUserStatus	powiedź czy z.kłossowski jest aktywny na slacku	o o b-username o o o o
Slack	CheckUserStatus	powiedź czy miłosz pasternak jest w tym momencie aktywny	o o b-username i-username o o o o o
Slack	CheckUserStatus	powiedź czy p.duda jest w tym momencie aktywny na slacku	o o b-username o o o o o o o
Slack	CheckUserStatus	powiedź czy a.niewiadomski jest w tej chwili aktywny	o o b-username o o o o o
Slack	CheckUserStatus	powiedź czy z.borkowski jest w tej chwili aktywny na slacku	o o b-username o o o o o o o
