domain	intent	utterance	bio
Twitter	OpenTwitter	pokaż twitty	o o
Twitter	OpenTwitter	pokaż posty na twitterze	o o o o
Twitter	OpenTwitter	pokaż twitty które napisałem	o o o o
Twitter	OpenTwitter	pokaż moje twitty	o o o
Twitter	OpenTwitter	pokaż moje posty na twitterze	o o o o o
Twitter	OpenTwitter	pokaż moje twitty które napisałem	o o o o o
Twitter	OpenTwitter	wyświetl twitty	o o
Twitter	OpenTwitter	wyświetl posty na twitterze	o o o o
Twitter	OpenTwitter	wyświetl twitty które napisałem	o o o o
Twitter	OpenTwitter	wyświetl moje posty na twitterze	o o o o o
Twitter	OpenTwitter	wyświetl moje twitty które napisałem	o o o o o
Twitter	FollowUser	obserwuj slonka17	o b-username
Twitter	FollowUser	zostań followersem kamil_miklaszew	o o b-username
Twitter	FollowUser	zacznij śledzić usiduspl	o o b-username
Twitter	UnfollowUser	przestań obserować pawelt_pl na twitterze	o o b-username o o
Twitter	UnfollowUser	przestań śledzić piotrus_pan9 na twitterze	o o b-username o o
Twitter	SendMessage	wyślij na twitterze wiadomość o treści kto wie może przed nami też piękne lata dwudzieste	o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	wyślij na twitterze pw wobec bezczelnych kłamstw prezydenta putina i rosyjskiej propagandy potrzebne jest wspólne stanowisko polskich władz i opozycji	o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	wyślij na twitterze pw o treści tu nie ma miejsca i czasu na wewnętrzny spór	o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	wyślij na twitterze prywatną wiadomość kobiety mają prawo decydować o swoim życiu i zdrowiu	o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	wyślij na twitterze prywatną wiadomość o treści dolepić śmierć jolanty brzeskiej do @andrzejduda to juz wyzszy stopień podłości	o o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	napisz na twitterze wiadomość najwyższy czas żeby skończyć z polską pogardy	o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter	SendMessage	napisz na twitterze wiadomość o treści istnieje przypuszczenie że rząd wie o przypadku #koronowirus o którym nie informuje opinii publicznej	o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
